بزغاله بودن ، بهتر از حرامزاده بودن است	Ardalan	ardalanmusavi	UK			
مموت رسما تهدید کرد مجلس رو حمایت مقام معظم رو هم که دوباره جلب کردن دیگه از الآن مجلس تخم نمی‌کنه چیزی بگه بهش	Nariman Dastan	pragmaknowledge	not-given			
طاقت بیار رفیق ما هردو بی کَسیم طاقت بیار رفیق داریم می‌رسیم d	Ali Mashayekhi	amjmashayekhi	not-given			http://t.co/xjxmbhj2
عبرت پيری برای جمعی سخن می راند لطيفه ای برای حضار تعریف کرد همه دیوانه وار خندیدندبعد از لحظه ای او دوباره	Ali Mashayekhi	amjmashayekhi	not-given			http://t.co/tJcjySXQ
کلاغهاگرچه سیاهند وآوازشان خوش نیست اماآنقدرباوفایند که شاخه های خشک درختان رادرفصل سرد زمستان تنها نمی گذارند	Ali Mashayekhi	amjmashayekhi	not-given			http://t.co/eaSDcPOI
ترس پسرها از ازدواج دل بستن به یه دختر نیست، دل بریدن از بقیه دخترهاست	Ali Mashayekhi	amjmashayekhi	not-given			
یادش بخیر پارسال این روزها	Ebrahim Shahzari	ebrahimshahzari	Iran			
تا الان ٣بار ملت منو خالم رو زن و شوهر خطاب كردن	Rezman	RezmanKhan	مقر			
مبارك باشه، ايشالله خوش و خرم باشى ١٠٠سال	Rezman	RezmanKhan	مقر		@Sama_Sky	
آموزش كامل بدنسازي جديد	iraj erfan	irajerfan	اصفهان			http://t.co/c70tLwoh
ایران مارکت سنتر	iraj erfan	irajerfan	اصفهان			http://t.co/4ISEmr1f
فروشگاه اینترنتی کلید اسرار	iraj erfan	irajerfan	اصفهان			http://t.co/KDzYXLAd
اينترنت ملي بشه يني چي يني بگاييم نه واقن الان اينترنت چيه ؟ اجنبيه	Gooner Idin	IdinAharzad	High			
عامل کشتار نروژ همدست داشته است	Mohammad Heidarzadeh	mamadheidarzade	Ahvaz,Iran			http://t.co/pR4umjE
حالا بخوام نیمه پر لیوانُ ببینم با اینکه این اتفاقات مسخره گند زد به اعصابم ولی خیلی چیزا یادم داد	yas	Jasmine_yas	وسط زمینُ آسمون!			
اين دكتر كپي هم برنامه جالبيه	p0ria_m	poria_m	tehran			
ﻓک کﻨﻢ ﺑﺎﺯﻡ ﺧﺒﺮیﻪ ﺍﺱ ﺍﺱ چ ﺗﺎﻧﻠیﻨگ، ﻭی پی ﺍﻥ، ﻫﻤﻪ چی ﺩﺍﻏﻮﻧﻪ ﺟی ﻣیﻞ ﻋﺎﺩی ﻫﻢ ﻣیﺮی ﺷﺪیﺪﺍ کﻨﺪﻩ	p0ria_m	poria_m	tehran			
ﻧﺴﻠی ﺷﺪﻩ ﺍیﻢ کﻪ ﺍﺯ ﺭﻭی ﻧﺎچﺎﺭی ﺩﺭﺩﻫﺎی یکﺪیگﺮ ﺭﺍ ﻻیک ﻣی کﻨیﻢ	p0ria_m	poria_m	tehran			
ﺧﺪﺍﺟﻮﻥ ﺭﻳپﻼﻱ ﻛﻪ ﺟﻮﺍﺏ ﻧﻤﻴﺪﻱ،ﺩﺍﻳﺮﻛﺘﺎﺗﻢ ﻛﻪ ﻧﻤﻴﺨﻮﻧﻲ،ﺑﻪ ﻓﺎﻟﻮﺭﺍﺗﻢ ﻛﻪ ﻧگﺎ ﻧﻤﻴﻜﻨﻲ ﺍﻣﺸﺐ ﻳﻪ ﻓﺎﻟﻮﺑﻚ ﺑﺪ	p0ria_m	poria_m	tehran			
شبا که خواستید بخوابید هر چی رو که فکر می کنید صب لازمش دارید رو دم دست بذارید،به غیر از دابلیو سی	hamid khosravi	echbis	not-given			
جميل هو الغد ومعك ياسلطان اكيد ممتع ننتظرك غدا	lora	loraalahmad	not-given		@SultanAljoufi	
خوش به حالتون توئیترتون نمیمیره مال من میمیره هی احیاش میکنم تنفس مصنوعی	سانی	sanaz_torabi	not-given			
یه کمی از راحیل یاد بگیرید هی تند تند منو فالو میکنه ی	vina	VinaAnitia	not-given			
بعله، برم بمیرم، الان رسما توی کانکور ۹۱ ثبت‌نام کردم	Bersam	B3RSAM	Iran			
بچه مچه ها رو فرستادن میدون شعار بدن، بگن «گشاد گشاد شعار نیس» ما توی مدرسه موندیم مسائل دینامیک فیزیک حل کردیم	Bersam	B3RSAM	Iran	#like_a_boss		
آقا شاخص های پراکندگی شونم در بیار متمایز شن جمعیت بعد ببر روو نمودار خودت اینکاره ای دیگه	تكاور ميم	Herr_Hohenheim	not-given		@Peserhaji	
دل خوش به چی؟ به آینده ای که معلوم نیست راهش کجاست؟ دل خوش به چی؟	تكاور ميم	Herr_Hohenheim	not-given			
سرمو گذاشتم روو کیبورد لپ تاپ از ای میرم به اینتر و از اینتر برمیگردم به ای بازی میکنم سرم گرمه	تكاور ميم	Herr_Hohenheim	not-given			
رفتم ببینم نمره ای توی سایت اومده داخل نشد نوشت وضعیت شما بدهکار میباشد نه پول میدم به شماها نه نمره میخوام ازتون مال خودتون	تكاور ميم	Herr_Hohenheim	not-given			
اعصابم داره بهم میریزه ها سرعت اینترنت خوبه چرا؟ چه دلیلی داره؟ چه دلیلی میتونه داشته باشه؟ زنگ بزنم آی اس پی پیگیری کنم	تكاور ميم	Herr_Hohenheim	not-given			
صدها زن یمنی در اعتراض به سرکوب مخالفان، حجاب سنتی خود را به آتش کشیدند عكس via	hasan azadikhah	twitfarhad	freedom 		@AddThis	http://t.co/wyBCCfCm
مک کین عملیات نظامی در سوریه را باید در نظر گرفت	hasan azadikhah	twitfarhad	freedom 			http://t.co/wu2qAe2B
این تبلت سونی رو تا حالا از نزدیک ندیدم	نوید	navidazimi	Mashhad-iran			
ینی آواتارم اینقد نامفهومه؟؟؟؟؟؟؟؟؟	kolena 	Kolena1	خلیج فارس		@luna_belluna	
خستگی مفرط رو تو تک تک سلول هام احساس می کنم و دریغ از همدمی که دمی بیاسایم	Ramin Farmani	raminfarmani	Mashhad - Iran			
یه گربه همیشه یه گربه‌‌س حالا فرقی نمی‌کنه که مرد باشه یا نامرد چون گربه‌س شاید برا گربه‌ها فرق داشته باشه	DayzGone	DayzGone	Tehran			http://t.co/rs5CQ2pp
تست سوم	لاتاري آمريكا	DvLottery	Iran			
“ یلدا کیه؟ بی اف نمیخواد؟”	Parshan Pahlavi	Parshan	not-given	#YaldaNight	@AghaEjaze	
جيگر تو	Parshan Pahlavi	Parshan	not-given		@spakseresht	
وارد شب میشویم و یواش یواش شــــــــــــــــــــــــــــــــــب یلــــــــــــــــــــدای شما چله گجه سی باد	AMiN	Aminkh17	Tabriz	#fb		
خندیدنِ من نباشد از روی نشاط انگـشتِ زمـانه می‌دهد قلقلکم	arezoooo	arezoo7	not-given			
بازم گرف هی میگیره هی ول میکنه یه روز میمونه دستش عرض میکنم شایدم بیخیلی آاای دلم	SamanHP	Saman_ism	+98411 /+90232			
این عربا که هی واسه اثبات خودشون میگن گ چ پ ژ	biatti	shastochari	Santi Yek Goh			
محافظه کاری در حد لیگ قهرمانان	biatti	shastochari	Santi Yek Goh			
دیروز خدماتیمون آش پخت فکر کنم تا آخر هفته دیگه آش داشته باشیم بنده خدا جو محرم گرفتش	یوگی	navidsystem	iran. tehran			
نميدونم انگليسيش رو نخوندم ولي فكر نكنم ترجمه كمكي كنه احتمالا كلا نتونستي ارتباط برقرار كني	Sarah	synoptik	Blacksburg, Virginia		@Shinings	
درد وجدان	Mohsen	mohebro	not-given		@joookerbox	
مجید دری شادم که سکوت نکردم سربلندم که در برابرتان سر خم نکردم	daneshjoonline	daneshjoonline	Iran			http://t.co/8t2QJqzM
سیم ِ خاردار من ُ از فرار نمی ترسونه تیر ِ اخطار من ُ از فرار نمی ترسونه	amirdarafsheh	amirdarafsheh	35.80283,51.43127			
اینجور آدمی نبودم شرایط، محیط، آدما اینجوریم کردن	amirdarafsheh	amirdarafsheh	35.80283,51.43127			
آموزش ساخت عکس ۳ بعدی آناگلیف با استفاده از فتوشاپ	Shayan Seyedi	Shayanism	Mahabad, Iran			http://t.co/dmY6QJo
نظر تو کاملا محترمه اما لطفا اسم اپل رو خز نکن دی	Shayan Seyedi	Shayanism	Mahabad, Iran			
به کجا چنین فراخوان ؟	Aida	aidaa	not-given			
راضیم که هوا زود تاریک می شه مرسی ساعت مرسی خورشید ، مرسی همه	Aida	aidaa	not-given			
ینی من سر جلسه کنکور هم صندلی راست دست باید بشینم؟؟ از جمعه هنوز گردن دردم	L.mira	elmira_vf	not-given			
خونه خالي داريم چون آدم نداريم پرش كنيم	L.mira	elmira_vf	not-given			
منظورم اين خونه ايه كه الان روبرومه	L.mira	elmira_vf	not-given			
سردمه	Mohammad Grammy	Tafaghod	Mashhad			
شب رو با یک قسمت از فرندز به پایان می‌رسونیم	Ali	ParsiKade	Isfahan, Iran			
یادت ، جشنِ بوی گل در پاییز، نگاهت ، یادبودِ ساعقه بر تنه درختِ خشکیده، آغوشت ، لذت گرمی آفتاب در شبِ	Reza Seen ر.ض.ا سین	RezaSeen	Canada			http://t.co/Bhd11teY
به تنها چيزى كه ميشه اميد بست واسه ادامه حيات يه دل صاف واسه دلخوشيه، حتا دل بستن	ون سان ونگوگ	Vincent_Vangog	قطعه ای در جهنم			
قانون الهى بذا برو	ون سان ونگوگ	Vincent_Vangog	قطعه ای در جهنم			
اگه شاد بودى آروم بخند تا غم بيدار نشه و اگه غمگين بودى آروم گريه كن تا شادى نااميد نشه چاپلين	ون سان ونگوگ	Vincent_Vangog	قطعه ای در جهنم	#چارلى		
اينجوريه پس ما هم نهار بزنيم	veloo	KoochVeloo	not-given			
من بیام؟ من عروسی دوست دارم دی	veloo	KoochVeloo	not-given		@nimsede	
هنوز هشت ساعت مونده و من به شدت خوابم مياد	شیــــــــــــما	shima07	not-given			
نه عقل بود و نه دلى	شیــــــــــــما	shima07	not-given			
جنگ صد ساله چند سال طول کشید؟	STAR	EXTREMEHRAN	iRAN			
اي تو روحت	ممدصادق عليزاده	mhsadeq1414	tehran		@ahmedmusavi	
کیوسک آلبوم جدیدشون بد نیس	AliiiSn	PharmASn	not-given			
still working ومرض کیر خر زهر هلاهل	AliiiSn	PharmASn	not-given	#google+		
عینک جدید خریدم هر کی می بیندتم بهم میگه عه چقد شبیه صادق هدایت شدی ینی در این حد	AliiiSn	PharmASn	not-given			
هر سال بابا به خاطر نذرش میرفت شمع روشن میکرد اما امسال چون پاهاش درد میکرد نتونست که بره و من به جاش رفتم	AliiiSn	PharmASn	not-given			
فاک پس من چرا احساس نمی کنم که فردا میان ترم دارم؟	AliiiSn	PharmASn	not-given			
از کسی نمی پرسند چه هنگام میتواند خدا نگهدار بگوید از عادات انسانی اش نمی پرسند از خویش تنش نمی پرسند زمانی به	Blue Bird	BlueBirdmazdak	not-given			http://t.co/t3euGVfe
بیست و یک شهریور روز ملی سینماست	arash	aa_mlv	not-given			
و اگر هردو یکدیگر را دوست داشته باشید به رسم آیین زندگی به هم نمیرسید	arash	aa_mlv	not-given			
عجب جایی اینجا می شه این موقع شب هوار کشید اینجا آخه بیشعوری هم حدی داره خررررره حد خودت رو نگهدار	ahmad shomali	shomali_ahmad	iran/ mashhad			
روز دیگه بازهمون آش بازهمون کاسه	Mahsa	0bozorg	not-given			
ترمم یمونه	Mahsa	0bozorg	not-given			
یه آهنگ خوب میخوام	Mahsa	0bozorg	not-given			
نه بهزاد تو می تونی	Farbod Abdolvahab	farbod_3f	tehran		@BehzadHD	
کمپین رضا مجدی فر دهن گشادتو ببند	Farbod Abdolvahab	farbod_3f	tehran			
دی رید دی رید دید دید دی دی دید	Farbod Abdolvahab	farbod_3f	tehran			
سیروان با آهنگ خداحافظی ت دیگه روم نمیشه بگم طرفدارتم	Sepideh Khorshahiyan	Sepideh_248	Tehran			
کاش اونایی که دوستم داشتن دوستم نداشتن و اونایی که دوستم نداشتن دوستم داشتن	Sepideh Khorshahiyan	Sepideh_248	Tehran			
چقدر خوبه كه من كنكور دارم و اصن عين خيالمم نيست	وارونه نويس	varoonenevis	not-given			
ديشب هم ازون شبايي بود كه از بس خواب بد ديدم صبح نميتونستم از جام بلند شم	وارونه نويس	varoonenevis	not-given			
ميگم خب اين چه كاريه؟ ميگه خودتو جمع كرده بودي تو خواب يعني داشتي سرما ميخوردي	وارونه نويس	varoonenevis	not-given			
